date,OT,blkio.throttle.io_service_bytes_Async,blkio.throttle.io_service_bytes_Read,container_cpu_usage_seconds_total,container_memory_active_file,container_memory_hierarchical_memory_limit,container_memory_rss,container_network_tcp_TimeWait,cpu.busy,mem.memused,net.if.in.bytes
2018-07-24 00:28:30,4.79,55459840.0,32145408.0,4.017507746e+16,15564369920.0,68719476736.0,10563919872.0,8.0,531.21,77.56,14815695.43
2018-07-24 00:29:00,4.7,28204793856.0,4498563072.0,4.017516356e+16,15564369920.0,68719476736.0,10563919872.0,3.0,288.95,77.56,7379145.73
2018-07-24 00:29:30,4.55,55459840.0,32145408.0,4.017517527e+16,15564386304.0,68719476736.0,10563928064.0,2.0,43.85,77.56,14974371.5
2018-07-24 00:30:00,4.59,28204797952.0,32145408.0,4.017533446e+16,15564406784.0,68719476736.0,10563780608.0,0.0,540.97,77.57,31129353.2
2018-07-24 00:30:30,4.54,55459840.0,32145408.0,4.017545848e+16,15564414976.0,68719476736.0,10564395008.0,15.0,421.61,77.57,22485402.83
2018-07-24 00:31:00,4.39,55459840.0,32145408.0,4.017548348e+16,15564419072.0,68719476736.0,10563600384.0,10.0,84.18,77.56,1127.9
2018-07-24 00:31:30,4.25,55459840.0,32145408.0,4.017548401e+16,15564423168.0,68719476736.0,10563600384.0,1.0,3.26,77.56,1682.07
2018-07-24 00:32:00,4.34,28205056000.0,4498563072.0,4.017554266e+16,15564476416.0,68719476736.0,10564517888.0,7.0,219.42,77.57,52707404.53
2018-07-24 00:32:30,4.39,55459840.0,32145408.0,4.017575349e+16,15564484608.0,68719476736.0,10564227072.0,13.0,715.27,77.57,39860883.9
2018-07-24 00:33:00,4.41,55459840.0,32145408.0,4.017595837e+16,15564488704.0,68719476736.0,10564337664.0,10.0,681.04,77.57,18304059.0
2018-07-24 00:33:30,4.43,28205096960.0,4498563072.0,4.017612073e+16,15564492800.0,68719476736.0,10563825664.0,13.0,548.8,77.57,32798430.67
2018-07-24 00:34:00,4.48,28205268992.0,32145408.0,4.017623073e+16,15564541952.0,68719476736.0,10564882432.0,17.0,383.96,77.57,46095287.27
2018-07-24 00:34:30,4.47,55459840.0,4498563072.0,4.017639074e+16,15564550144.0,68719476736.0,10563207168.0,17.0,540.92,77.57,29582235.83
2018-07-24 00:35:00,4.35,28205424640.0,4498563072.0,4.017648994e+16,15564558336.0,68719476736.0,10563432448.0,10.0,331.62,77.57,1456.87
2018-07-24 00:35:30,4.21,55459840.0,32145408.0,4.017649397e+16,15564558336.0,68719476736.0,10563428352.0,2.0,15.3,77.57,3508377.67
2018-07-24 00:36:00,4.2,55459840.0,4498563072.0,4.017658314e+16,15564562432.0,68719476736.0,10565050368.0,6.0,307.02,77.57,34206711.03
2018-07-24 00:36:30,4.13,55459840.0,32145408.0,4.017669194e+16,15564562432.0,68719476736.0,10565120000.0,10.0,367.82,77.57,14782493.67
2018-07-24 00:37:00,4.0,55459840.0,4498563072.0,4.017673052e+16,15564570624.0,68719476736.0,10565210112.0,0.0,129.09,77.57,1854.03
2018-07-24 00:37:30,3.87,55459840.0,4498563072.0,4.01767311e+16,15564570624.0,68719476736.0,10565210112.0,2.0,3.17,77.57,436.43
2018-07-24 00:38:00,3.97,28205555712.0,4498563072.0,4.017682449e+16,15564587008.0,68719476736.0,10565947392.0,7.0,332.4,77.57,52659991.2
2018-07-24 00:38:30,3.87,28205654016.0,4498563072.0,4.017700557e+16,15564599296.0,68719476736.0,10565193728.0,14.0,605.95,77.57,7384038.57
2018-07-24 00:39:00,3.74,55459840.0,32145408.0,4.017703509e+16,15564603392.0,68719476736.0,10565193728.0,8.0,99.27,77.57,1105.7
2018-07-24 00:39:30,3.62,34908876800.0,4738228224.0,4.017703552e+16,15564603392.0,68719476736.0,10565193728.0,1.0,3.14,77.57,1719.5
2018-07-24 00:40:00,3.73,28205662208.0,4498563072.0,4.017714523e+16,15564627968.0,68719476736.0,10565414912.0,7.0,388.35,77.58,54236349.37
2018-07-24 00:40:30,3.77,55459840.0,32145408.0,4.017733883e+16,15564640256.0,68719476736.0,10565410816.0,0.0,654.68,77.57,37208475.37
2018-07-24 00:41:00,3.78,28205838336.0,32145408.0,4.017751525e+16,15564648448.0,68719476736.0,10565251072.0,14.0,591.86,77.57,7357097.37
2018-07-24 00:41:30,3.66,55459840.0,4498563072.0,4.017752533e+16,15564652544.0,68719476736.0,10565386240.0,5.0,34.84,77.57,4320.77
2018-07-24 00:42:00,3.64,55459840.0,4498563072.0,4.017759175e+16,15564673024.0,68719476736.0,10565738496.0,0.0,228.17,77.58,23591391.33
2018-07-24 00:42:30,3.52,55459840.0,4498563072.0,4.017764891e+16,15564673024.0,68719476736.0,10565214208.0,4.0,191.25,77.58,1071.83
2018-07-24 00:43:00,3.4,55459840.0,4498563072.0,4.017764949e+16,15564677120.0,68719476736.0,10565214208.0,1.0,3.16,77.58,945.43
2018-07-24 00:43:30,3.29,55459840.0,4498563072.0,4.017765021e+16,15564681216.0,68719476736.0,10565214208.0,0.0,3.17,77.58,1557.9
2018-07-24 00:44:00,3.38,55459840.0,32145408.0,4.017774072e+16,15564697600.0,68719476736.0,10565447680.0,6.0,318.53,77.58,45227686.93
2018-07-24 00:44:30,3.37,28205973504.0,4498563072.0,4.017789329e+16,15564701696.0,68719476736.0,10564927488.0,10.0,514.4,77.58,22171845.37
2018-07-24 00:45:00,3.26,55459840.0,4498563072.0,4.017797094e+16,15564701696.0,68719476736.0,10564927488.0,5.0,260.33,77.58,501.9
2018-07-24 00:45:30,3.15,55459840.0,32145408.0,4.017797166e+16,15564705792.0,68719476736.0,10564927488.0,0.0,3.21,77.58,541.87
2018-07-24 00:46:00,3.18,55459840.0,4498563072.0,4.017804264e+16,15564726272.0,68719476736.0,10565435392.0,4.0,244.97,77.58,29722507.57
2018-07-24 00:46:30,3.11,55459840.0,32145408.0,4.017813311e+16,15564726272.0,68719476736.0,10565435392.0,6.0,302.07,77.58,820.93
2018-07-24 00:47:00,3.0,55459840.0,32145408.0,4.017813378e+16,15564730368.0,68719476736.0,10565431296.0,0.0,3.39,77.58,14834.8
2018-07-24 00:47:30,2.91,28205985792.0,4498563072.0,4.017813441e+16,15564730368.0,68719476736.0,10565435392.0,0.0,3.21,77.58,548.23
2018-07-24 00:48:00,2.84,55459840.0,4498563072.0,4.017815375e+16,15564742656.0,68719476736.0,10564956160.0,1.0,67.22,77.58,7442037.5
2018-07-24 00:48:30,2.75,28206010368.0,32145408.0,4.017817218e+16,15564742656.0,68719476736.0,10564956160.0,2.0,62.35,77.58,836.67
2018-07-24 00:49:00,2.66,28206010368.0,32145408.0,4.01781727e+16,15564746752.0,68719476736.0,10564956160.0,1.0,3.16,77.58,990.97
2018-07-24 00:49:30,2.6,34909224960.0,4498563072.0,4.017817347e+16,15564746752.0,68719476736.0,10564956160.0,0.0,3.14,77.58,1665.37
2018-07-24 00:50:00,2.75,28206010368.0,32145408.0,4.017828957e+16,15564763136.0,68719476736.0,10564927488.0,7.0,409.36,77.58,53357728.53
2018-07-24 00:50:30,2.72,28206202880.0,4498563072.0,4.017845447e+16,15564763136.0,68719476736.0,10564460544.0,14.0,554.22,77.58,14796300.7
2018-07-24 00:51:00,2.64,28206231552.0,32145408.0,4.017849003e+16,15564771328.0,68719476736.0,10564247552.0,9.0,119.86,77.58,1324.73
2018-07-24 00:51:30,2.55,55459840.0,32145408.0,4.01784907e+16,15564771328.0,68719476736.0,10564247552.0,0.0,3.18,77.58,1670.33
2018-07-24 00:52:00,2.66,28206231552.0,32145408.0,4.017860085e+16,15564808192.0,68719476736.0,10565001216.0,6.0,385.17,77.58,45013206.67
2018-07-24 00:52:30,2.64,28206346240.0,32145408.0,4.017874948e+16,15564808192.0,68719476736.0,10564788224.0,0.0,500.69,77.58,14782199.23
2018-07-24 00:53:00,2.55,55459840.0,4738228224.0,4.017877813e+16,15564812288.0,68719476736.0,10564861952.0,7.0,96.09,77.58,2510.7
2018-07-24 00:53:30,2.47,28206407680.0,32145408.0,4.017877861e+16,15564816384.0,68719476736.0,10564861952.0,0.0,3.14,77.58,1514.7
2018-07-24 00:54:00,2.52,55459840.0,32145408.0,4.017885338e+16,15564849152.0,68719476736.0,10565111808.0,4.0,261.19,77.58,30729695.27
2018-07-24 00:54:30,2.47,28206452736.0,32145408.0,4.017895023e+16,15564857344.0,68719476736.0,10565300224.0,0.0,323.58,77.58,1433.27
2018-07-24 00:55:00,2.39,55459840.0,32145408.0,4.017895897e+16,15564861440.0,68719476736.0,10565038080.0,4.0,30.22,77.58,648.2
2018-07-24 00:55:30,2.31,55459840.0,32145408.0,4.017895954e+16,15564861440.0,68719476736.0,10565038080.0,1.0,3.19,77.58,567.87
2018-07-24 00:56:00,2.37,55459840.0,32145408.0,4.017904118e+16,15564922880.0,68719476736.0,10565214208.0,0.0,283.17,77.58,30374403.77
2018-07-24 00:56:30,2.29,55459840.0,32145408.0,4.017909599e+16,15564922880.0,68719476736.0,10565083136.0,7.0,183.32,77.58,2940.43
2018-07-24 00:57:00,2.21,28206526464.0,4738228224.0,4.017909652e+16,15564926976.0,68719476736.0,10565083136.0,3.0,3.16,77.58,556.5
2018-07-24 00:57:30,2.14,55459840.0,32145408.0,4.017909714e+16,15564926976.0,68719476736.0,10565083136.0,0.0,3.18,77.58,518.03
2018-07-24 00:58:00,2.2,55459840.0,32145408.0,4.017916495e+16,15564935168.0,68719476736.0,10564788224.0,3.0,233.6,77.58,22483646.33
2018-07-24 00:58:30,2.13,28206596096.0,4498563072.0,4.017920676e+16,15564947456.0,68719476736.0,10564800512.0,5.0,139.61,77.58,2481.97
2018-07-24 00:59:00,2.06,55459840.0,4498563072.0,4.017920724e+16,15564947456.0,68719476736.0,10564796416.0,2.0,3.2,77.58,961.03
2018-07-24 00:59:30,1.99,55459840.0,32145408.0,4.017920781e+16,15564955648.0,68719476736.0,10564796416.0,0.0,3.25,77.58,2419.5
2018-07-24 01:00:00,2.45,55459840.0,4498563072.0,4.017945536e+16,15564976128.0,68719476736.0,10564890624.0,5.0,856.55,77.58,38072017.5
2018-07-24 01:00:30,2.4,28206632960.0,4738228224.0,4.017971505e+16,15564976128.0,68719476736.0,10564268032.0,7.0,882.41,77.58,1778.7
2018-07-24 01:01:00,2.33,55459840.0,32145408.0,4.01797233e+16,15564980224.0,68719476736.0,10564005888.0,2.0,28.73,77.58,1002.97
2018-07-24 01:01:30,2.25,28206632960.0,32145408.0,4.017972402e+16,15564980224.0,68719476736.0,10564005888.0,0.0,3.24,77.58,1639.63
2018-07-24 01:02:00,2.4,55459840.0,32145408.0,4.017982682e+16,15565017088.0,68719476736.0,10564669440.0,7.0,365.59,77.59,53070617.93
2018-07-24 01:02:30,2.49,55459840.0,32145408.0,4.018002599e+16,15565037568.0,68719476736.0,10564861952.0,15.0,678.86,77.59,44546354.03
2018-07-24 01:03:00,2.54,28206804992.0,32145408.0,4.018019886e+16,15565037568.0,68719476736.0,10565529600.0,14.0,580.02,77.59,7608642.63
2018-07-24 01:03:30,2.46,55459840.0,4498563072.0,4.018024431e+16,15565045760.0,68719476736.0,10565529600.0,6.0,152.74,77.59,2394.4
2018-07-24 01:04:00,2.83,55459840.0,4498563072.0,4.018046997e+16,15565078528.0,68719476736.0,10565529600.0,4.0,780.53,77.59,22555114.2
